epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1222.63,1.24315,1.38815,1.37767,0.62495,0.70066,0.71718,0.41764,1.44204,2.0709,1.7075,0.000332051,0.000332051,0.000332051
2,1630.22,1.3119,1.20754,1.41553,0.74256,0.72079,0.74119,0.45129,1.40445,1.51711,1.64155,0.000643427,0.000643427,0.000643427
3,2052.24,1.30568,1.17245,1.41482,0.81887,0.7862,0.83294,0.54838,1.20018,1.20039,1.42367,0.000932803,0.000932803,0.000932803
4,2475.38,1.24824,1.08042,1.37361,0.85583,0.78213,0.83575,0.5595,1.23978,1.15407,1.49925,0.000901,0.000901,0.000901
5,2898.95,1.19391,0.98853,1.34102,0.85877,0.81465,0.86728,0.57676,1.1963,1.02741,1.41713,0.000868,0.000868,0.000868
6,3330.86,1.16628,0.93485,1.3176,0.87852,0.82366,0.8834,0.60437,1.09662,0.91205,1.3293,0.000835,0.000835,0.000835
7,3756.22,1.13256,0.88292,1.29349,0.87876,0.83634,0.89413,0.63032,1.06095,0.81356,1.30717,0.000802,0.000802,0.000802
8,4174.6,1.12816,0.84307,1.29305,0.85575,0.86339,0.88825,0.62206,1.06101,0.86527,1.28821,0.000769,0.000769,0.000769
9,4599.68,1.08249,0.79659,1.27096,0.89121,0.8738,0.91271,0.63992,1.03543,0.77977,1.26598,0.000736,0.000736,0.000736
10,5022.95,1.06919,0.75605,1.24536,0.8933,0.86442,0.90481,0.63407,1.02739,0.73874,1.2567,0.000703,0.000703,0.000703
11,5473.69,1.05014,0.74087,1.23702,0.88652,0.87915,0.91167,0.6473,0.97978,0.69692,1.2297,0.00067,0.00067,0.00067
